sample_idx,t_pc_s,segment_id,label,orta_acc_x,orta_acc_y,orta_acc_z,orta_gyro_x,orta_gyro_y,orta_gyro_z,sol_acc_x,sol_acc_y,sol_acc_z,sol_gyro_x,sol_gyro_y,sol_gyro_z,sag_acc_x,sag_acc_y,sag_acc_z,sag_gyro_x,sag_gyro_y,sag_gyro_z
106,3.0874433,1,rest_initial,1.0989,0.7422,9.1411,0.0597,0.041,0.0064,0.3496,0.2346,9.9311,0.0256,0.0383,0.0152,0.7326,0.0048,9.9695,-0.0133,-0.0652,-0.0144
107,3.0877466,1,rest_initial,1.0894,0.6991,9.0644,0.0671,0.0381,0.0091,0.4094,0.237,9.8258,0.0266,0.0376,0.013,0.7015,0.0407,9.7707,-0.0072,-0.0621,-0.0117
108,3.0880362,1,rest_initial,1.142,0.7087,9.1913,0.0636,0.0381,0.0091,0.4357,0.2634,9.9192,0.0312,0.0365,0.0128,0.7566,0.0479,9.8881,-0.013,-0.0636,-0.0138
109,3.0883392,1,rest_initial,1.1301,0.7254,9.2273,0.0602,0.0373,0.0051,0.3974,0.2203,9.9527,0.0256,0.0391,0.0128,0.7087,0.0048,9.7923,-0.0141,-0.0631,-0.0154
110,3.0886287,1,rest_initial,1.1157,0.6776,9.1147,0.0607,0.037,0.0067,0.407,0.2227,9.8593,0.0285,0.041,0.0125,0.7446,0.079,9.7707,-0.0117,-0.061,-0.016
111,3.0889166,1,rest_initial,1.0798,0.7446,9.1578,0.0647,0.041,0.008,0.3759,0.2227,9.924,0.0322,0.0415,0.0133,0.6823,0.0383,9.8066,-0.0112,-0.0618,-0.0144
112,3.0892172,1,rest_initial,1.0894,0.7015,9.1554,0.0629,0.0397,0.0069,0.4046,0.2035,9.9695,0.0298,0.0413,0.0088,0.723,-0.0239,9.9,-0.0117,-0.0607,-0.0146
113,3.089574,1,rest_initial,1.1636,0.747,9.1147,0.0676,0.0341,0.0053,0.4453,0.2251,9.9096,0.0309,0.0407,0.0115,0.7542,0.0599,9.8689,-0.0149,-0.0626,-0.0194
114,3.0898653,1,rest_initial,1.1109,0.7087,9.074,0.0613,0.041,0.0061,0.4022,0.2107,9.8737,0.033,0.0413,0.0107,0.723,0.0239,9.845,-0.0067,-0.0567,-0.0128
115,3.090153,1,rest_initial,1.0822,0.7494,9.2033,0.0636,0.0402,0.0075,0.4166,0.2107,9.9216,0.0314,0.0386,0.012,0.7254,0.0263,9.8114,-0.012,-0.061,-0.0144
116,3.0904473,1,rest_initial,1.0846,0.7183,9.1746,0.0618,0.037,0.0077,0.3974,0.249,9.8785,0.0288,0.0378,0.0149,0.7278,0.0551,9.8426,-0.0075,-0.0626,-0.0128
117,3.0907455,1,rest_initial,1.1205,0.7183,9.1243,0.0607,0.036,0.0043,0.4381,0.249,9.9311,0.0338,0.0383,0.0123,0.723,0.0239,9.8617,-0.0083,-0.0597,-0.0144
118,3.0910272,1,rest_initial,1.166,0.7087,9.1219,0.0623,0.0439,0.0072,0.4525,0.2466,9.9144,0.0306,0.041,0.0141,0.7661,0.0192,9.8354,-0.0154,-0.0655,-0.0144
119,3.0913192,1,rest_initial,1.1085,0.7254,9.177,0.0666,0.0402,0.0059,0.395,0.249,9.8713,0.0322,0.0394,0.0176,0.7111,0.0407,9.8785,-0.0112,-0.0591,-0.0176
120,3.0917182,1,rest_initial,1.0702,0.6919,9.0956,0.0602,0.0386,0.0048,0.3496,0.2227,9.9192,0.0306,0.0373,0.0136,0.7087,0.0024,9.8378,-0.0117,-0.0634,-0.0117
121,3.0920139,1,rest_initial,1.1349,0.6967,9.1435,0.0652,0.0394,0.004,0.4166,0.2682,9.9599,0.0258,0.0399,0.012,0.7326,0.0431,9.8258,-0.0125,-0.065,-0.0141
122,3.0922998,1,rest_initial,1.1827,0.7374,9.1219,0.0671,0.0383,0.0056,0.4429,0.2107,9.9814,0.0242,0.0415,0.0152,0.7326,0.0239,9.8186,-0.0088,-0.0575,-0.0141
