sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
4413,76.3965494,rest_final,0.265284386396135,-9.74384340048457,-0.0959046688431462,0.265283309691942,-9.74384336506111,-0.0959049070076786,2.56478287038859,0.034884007883307,4.39690118694565,1.51462270455845
4414,76.4122608,rest_final,0.254319497574848,-9.74183610145922,-0.0723506030014006,0.254325065432176,-9.74183608700511,-0.0723588773870721,2.46755726022839,0.0355774660192291,4.3670031251822,1.54047399644289
4415,76.4324194,rest_final,0.257257628980574,-9.74233538005961,-0.0619160892995938,0.257246473470413,-9.74233541482115,-0.0619385588327678,2.54915470106335,0.0328541871444915,4.27435770666586,1.49989020277395
4416,76.4483537,rest_final,0.223319639685863,-9.74570545830794,-0.034405089091595,0.223320073793862,-9.74570542053751,-0.0344055099629369,2.53673159556206,0.0320387548185284,4.33824982729916,1.59933327737746
4417,76.4641587,rest_final,0.233375749572643,-9.75076254963801,-0.0312970938961898,0.233370007705371,-9.75076231586065,-0.0312984710143993,2.68675154940762,0.0292250895523195,4.70961486407556,1.53778210704906
4418,76.4798318,rest_final,0.161267284280622,-9.74879818809567,-0.032329105156659,0.16127462721182,-9.74879819625724,-0.0323294105705439,2.67794417285261,0.0314531522103701,4.71806757135486,1.54242212495433
4419,76.4956934,rest_final,0.215336043192475,-9.75169362885489,-0.0622365433541212,0.215335362663592,-9.75169358256141,-0.062236146363732,2.68706118335173,0.0306975634339717,4.81018824892351,1.47569212030856
4420,76.5118214,rest_final,0.192924356447857,-9.74886124894297,-0.0544451269986957,0.19293467780287,-9.74886149574849,-0.0544469930862696,2.78125079699685,0.0317474424734646,4.36194852827438,1.5555926211928
4421,76.5275675,rest_final,0.201089422352005,-9.74962945120704,-0.0351605159439163,0.201075165445747,-9.74962912567877,-0.0351947868435551,2.30649420897548,0.0296439774110586,4.57734553191601,1.47734353236008
4422,76.5434434,rest_final,0.20604299519597,-9.75137083588783,-0.0279248031662226,0.206010813643168,-9.75137071441499,-0.0279699050645194,2.39194138735631,0.0176843998419274,4.71236494284094,1.56434294670273
4423,76.5746317,rest_final,0.16887489207852,-9.75044404879803,-0.153363388455233,0.168875320159937,-9.75044404415144,-0.153361438987252,2.45894867810004,0.017711996125502,4.7478496841864,1.55375520853284
4424,76.5909482,rest_final,0.189277797532556,-9.75676373323688,-0.119428256291075,0.189266495834291,-9.7567634580525,-0.119440478802111,2.35330260621172,0.0136489674748219,5.27230619780787,1.44227599763167
4425,76.6067449,rest_final,0.186964432981204,-9.76117722510202,-0.135228894249839,0.186940532592737,-9.76120213725395,-0.135333366499028,2.3939695418131,-0.0232601032363361,5.08227763853232,1.61494104822693
4426,76.6223907,rest_final,0.207999106943535,-9.76093008905622,-0.0181376113971414,0.207998874859843,-9.76093003883471,-0.0181394089767473,2.35078276328976,-0.0232677978743038,5.15578848620054,1.51275116129536
4427,76.6381786,rest_final,0.209486277007088,-9.76270156159574,-0.0336799810506144,0.209484193859539,-9.7627015457563,-0.0336751616629259,2.81251566679978,-0.0237621881359111,5.24767849009384,1.46057973289774
4428,76.6537778,rest_final,0.210201609653333,-9.76025532319438,-0.0234612915816594,0.210204951806805,-9.76025561220496,-0.0234740303285268,3.01202823840442,-0.0200412413447849,4.88916260077027,1.51072866350039
